sequence_index,pearson_r_baseline,pearson_r_standard,pearson_r_qlayer
1024,0.24082572758197784,0.3727840781211853,0.5950760245323181
1025,0.3301953375339508,0.4067133069038391,0.6679973602294922
1026,0.12639328837394714,0.1470607966184616,0.24239586293697357
1027,0.10217516124248505,0.2976682782173157,0.6030524969100952
1028,0.1334475725889206,0.20006141066551208,0.5125126242637634
1029,0.14269930124282837,0.16808585822582245,0.32033875584602356
1030,0.1388297975063324,0.15813100337982178,0.27780774235725403
1031,0.1920153647661209,0.3197258412837982,0.5554788708686829
1032,0.3292046785354614,0.33838677406311035,0.3651809096336365
1033,0.11353111267089844,0.21266835927963257,0.20141014456748962
1034,0.1786525547504425,0.2385280430316925,0.25193262100219727
1035,0.19982083141803741,0.24071677029132843,0.47656551003456116
1036,0.21401770412921906,0.21738798916339874,0.3522198796272278
1037,0.19505912065505981,0.2925380766391754,0.5189491510391235
1038,0.14398500323295593,0.1629989594221115,0.2635810077190399
1039,0.12801998853683472,0.18554404377937317,0.39002272486686707
1040,0.3104173243045807,0.4589521884918213,0.6771712899208069
1041,0.19027473032474518,0.16536951065063477,0.2778613567352295
1042,0.10952753573656082,0.30404725670814514,0.4713965356349945
1043,0.07925164699554443,0.21739856898784637,0.3916333317756653
1044,0.2161574363708496,0.2710725963115692,0.22900672256946564
1045,0.08890428394079208,0.24052080512046814,0.3852616250514984
1046,0.11077016592025757,0.2690716087818146,0.38308799266815186
1047,0.13948498666286469,0.3030303120613098,0.5587928295135498
1048,0.21984945237636566,0.24541515111923218,0.3877458870410919
1049,0.05487377196550369,0.036911316215991974,0.12475887686014175
1050,0.1324097067117691,0.3604641258716583,0.5406174063682556
1051,0.3034716844558716,0.3775652050971985,0.5856131315231323
1052,0.19911319017410278,0.31895503401756287,0.5325980186462402
1053,0.19179092347621918,0.25751635432243347,0.43022340536117554
1054,0.17952686548233032,0.17924657464027405,0.24639013409614563
1055,0.19181345403194427,0.13389471173286438,0.1495925635099411
1056,0.21291108429431915,0.31900280714035034,0.43574610352516174
1057,0.15984874963760376,0.18075290322303772,0.2967141270637512
1058,0.21420836448669434,0.2534141540527344,0.45247507095336914
1059,0.18654629588127136,0.22280636429786682,0.45184987783432007
1060,0.15053194761276245,0.1014629676938057,0.31990742683410645
1061,0.06451386213302612,0.03349880501627922,0.08915277570486069
1062,0.125542551279068,0.31830355525016785,0.47116443514823914
1063,0.20758908987045288,0.38502952456474304,0.5425891280174255
1064,0.09662375599145889,0.0671653300523758,0.11823204904794693
1065,0.23298491537570953,0.27993476390838623,0.5214418768882751
1066,0.1723143607378006,0.19710984826087952,0.39505261182785034
1067,0.1443045735359192,0.20544648170471191,0.24727457761764526
1068,0.2787882685661316,0.41334256529808044,0.47346046566963196
1069,0.20554086565971375,0.3773939609527588,0.5734941363334656
1070,0.023692749440670013,0.05732763931155205,0.0668167695403099
1071,0.20317625999450684,0.5086711645126343,0.689752995967865
1072,0.04643484205007553,0.07181031256914139,0.17207229137420654
1073,0.23087851703166962,0.2311231642961502,0.36496561765670776
1074,0.11997900158166885,0.15432658791542053,0.2390182912349701
1075,0.02821159176528454,0.09571856260299683,0.19554324448108673
1076,0.1735994964838028,0.38769036531448364,0.5857489109039307
1077,0.22872163355350494,0.2691422402858734,0.45893386006355286
1078,0.06222502514719963,0.05636436119675636,0.08217088878154755
1079,0.180814728140831,0.23745059967041016,0.44767898321151733
1080,0.21632708609104156,0.2657063901424408,0.43584784865379333
1081,0.1328085958957672,0.1907413899898529,0.28547972440719604
1082,0.16766762733459473,0.2782656252384186,0.4569700062274933
1083,0.151828795671463,0.26609665155410767,0.4868849515914917
1084,0.09431073069572449,0.24188072979450226,0.4107441306114197
1085,0.12600044906139374,0.17016379535198212,0.20425492525100708
1086,0.039704371243715286,0.0724906399846077,0.19395358860492706
1087,0.18703065812587738,0.2180107980966568,0.3176509439945221
1088,0.12239186465740204,0.11386636644601822,0.15028217434883118
1089,0.12387508153915405,0.3716782331466675,0.670237123966217
1090,0.30495330691337585,0.32415562868118286,0.4767579138278961
1091,0.12267682701349258,0.16050264239311218,0.35601088404655457
1092,0.2761879563331604,0.29673248529434204,0.356174498796463
1093,0.2723831236362457,0.37423473596572876,0.6213799715042114
1094,0.36731231212615967,0.5325913429260254,0.5280659198760986
1095,0.18334834277629852,0.2688693702220917,0.4357437789440155
1096,-0.02080651931464672,0.0822513997554779,0.1420222967863083
1097,0.11068768054246902,0.2717086374759674,0.420269638299942
1098,0.16172687709331512,0.1898830533027649,0.4061504304409027
1099,0.25703784823417664,0.3690757155418396,0.609272301197052
1100,0.2252349555492401,0.20964179933071136,0.27325138449668884
1101,0.053452253341674805,0.09646575897932053,0.10940635949373245
1102,0.10128507763147354,0.17095060646533966,0.3790875971317291
1103,0.1712542623281479,0.22362001240253448,0.44201382994651794
1104,0.2671324908733368,0.3230571746826172,0.49587583541870117
1105,0.045926518738269806,0.045840486884117126,0.3171795606613159
1106,0.16740822792053223,0.21287663280963898,0.36045268177986145
1107,0.06651496887207031,0.21825434267520905,0.34370169043540955
1108,0.18121977150440216,0.2447434663772583,0.38347411155700684
1109,0.23906677961349487,0.25715750455856323,0.46155592799186707
1110,0.26226383447647095,0.3091261386871338,0.458983451128006
1111,0.26167771220207214,0.27472230792045593,0.5351606607437134
1112,0.22721722722053528,0.2809545397758484,0.42678073048591614
1113,0.2136305868625641,0.30511584877967834,0.5723437666893005
1114,0.18895962834358215,0.2659216821193695,0.35006049275398254
1115,0.24058042466640472,0.34497764706611633,0.5707279443740845
1116,0.18225103616714478,0.17162638902664185,0.291999489068985
1117,0.14066839218139648,0.2554188668727875,0.40527355670928955
1118,0.1625160276889801,0.2659071087837219,0.5058795809745789
1119,0.19865909218788147,0.3439229726791382,0.4465515613555908
1120,0.21617746353149414,0.32407107949256897,0.4450089931488037
1121,0.3127405643463135,0.3272554576396942,0.44519978761672974
1122,0.3082101345062256,0.452055960893631,0.580679178237915
1123,0.6009944081306458,0.7358051538467407,0.8511399030685425
1124,0.1364068239927292,0.15156856179237366,0.08711282163858414
1125,0.17975755035877228,0.3727636933326721,0.5002154111862183
1126,0.13709565997123718,0.22460800409317017,0.3763957619667053
1127,0.430643767118454,0.5850834846496582,0.7507131695747375
1128,0.2203032374382019,0.394074410200119,0.5307687520980835
1129,0.1425577849149704,0.1802862584590912,0.2294997274875641
1130,0.18153180181980133,0.21088933944702148,0.3998728394508362
1131,0.25562599301338196,0.39328402280807495,0.4905710518360138
1132,0.27165529131889343,0.31941747665405273,0.5141941905021667
1133,0.13210512697696686,0.20589107275009155,0.2235325276851654
1134,0.12488474696874619,0.21736708283424377,0.3209543824195862
1135,0.14102110266685486,0.29471251368522644,0.5347985625267029
1136,0.1678217202425003,0.3011268377304077,0.5246395468711853
1137,0.26954472064971924,0.3358851671218872,0.5240461826324463
1138,0.1460617035627365,0.27676016092300415,0.5835909247398376
1139,0.26026657223701477,0.2654491662979126,0.12412896752357483
1140,0.1983506828546524,0.19668133556842804,0.20938925445079803
1141,0.1304560899734497,0.22015245258808136,0.2398190200328827
